"Weekly","Spots","Mean","Median","Sd","Count"
1925-02-08,47,6.71428571428571,8,1.97604704011871,7
1925-02-15,22,3.14285714285714,2,2.60950643025148,7
1925-02-22,13,1.85714285714286,2,1.3451854182691,7
1925-03-01,18,2.57142857142857,2,3.04724700110022,7
1925-03-08,23,3.28571428571429,2,3.68394198806504,7
1925-03-15,31,4.42857142857143,3,2.93582145558064,7
1925-03-22,33,4.71428571428571,5,2.21466970556828,7
1925-03-29,29,4.14285714285714,3,2.85356919363403,7
1925-04-05,30,4.28571428571429,2,2.87020822207993,7
1925-04-12,30,4.28571428571429,5,3.59231985000806,7
1925-04-19,12,1.71428571428571,0,2.62769136406122,7
1925-04-26,32,4.57142857142857,3,2.93582145558064,7
1925-05-03,31,4.42857142857143,2,3.04724700110022,7
1925-05-10,39,5.57142857142857,5,2.50713268211203,7
1925-05-17,31,4.42857142857143,5,3.50509832753866,7
1925-05-24,33,4.71428571428571,5,2.87020822207993,7
1925-05-31,38,5.42857142857143,7,2.63673679998231,7
1925-06-07,32,4.57142857142857,7,3.73528860362636,7
1925-06-14,31,4.42857142857143,3,3.45722156541651,7
1925-06-21,20,2.85714285714286,2,3.38765264987284,7
1925-06-28,46,6.57142857142857,7,1.90237946242268,7
1925-07-05,13,1.85714285714286,2,1.3451854182691,7
1925-07-12,21,3,2,3.21455025366432,7
1925-07-19,19,2.71428571428571,3,2.6903708365382,7
1925-07-26,38,5.42857142857143,5,2.37045304088641,7
1925-08-02,35,5,7,3,7
1925-08-09,34,4.85714285714286,5,2.54483604112141,7
1925-08-16,20,2.85714285714286,2,2.96808419852332,7
1925-08-23,39,5.57142857142857,7,3.20713490294909,7
1925-08-30,25,3.57142857142857,3,2.8784916685157,7
1925-09-06,41,5.85714285714286,7,2.54483604112141,7
1925-09-13,39,5.57142857142857,7,2.43975018237133,7
1925-09-20,28,4,3,2.08166599946613,7
1925-09-27,34,4.85714285714286,5,3.02371578407382,7
1925-10-04,25,3.57142857142857,3,3.69039938476144,7
1925-10-11,37,5.28571428571429,5,3.03942350423485,7
1925-10-18,49,7,8,1.82574185835055,7
1925-10-25,21,3,2,2.3094010767585,7
1925-11-01,26,3.71428571428571,3,2.81154084173819,7
1925-11-08,28,4,3,2.82842712474619,7
1925-11-15,41,5.85714285714286,7,2.54483604112141,7
1925-11-22,43,6.14285714285714,7,1.57359158493889,7
1925-11-29,25,3.57142857142857,3,2.5727509827124,7
1925-12-06,37,5.28571428571429,5,1.79947082168487,7
1925-12-13,32,4.57142857142857,5,2.99205296617238,7
1925-12-20,27,3.85714285714286,3,2.911389784311,7
1925-12-27,28,4,3,3.1091263510296,7
1926-01-03,29,4.14285714285714,3,2.85356919363403,7
1926-01-10,17,2.42857142857143,2,2.07019667802706,7
1926-01-17,39,5.57142857142857,7,3.20713490294909,7
1926-01-24,28,4,5,3.16227766016838,7
1926-01-31,38,5.42857142857143,7,2.99205296617238,7
1926-02-07,33,4.71428571428571,5,2.87020822207993,7
1926-02-14,18,2.57142857142857,2,2.5727509827124,7
1926-02-21,31,4.42857142857143,3,3.45722156541651,7
1926-02-28,25,3.57142857142857,3,2.22539456105675,7
1926-03-07,36,5.14285714285714,5,2.41029537806548,7
1926-03-14,25,3.57142857142857,3,3.20713490294909,7
1926-03-21,34,4.85714285714286,5,3.28778402720188,7
1926-03-28,21,3,2,3.60555127546399,7
1926-04-04,31,4.42857142857143,5,3.50509832753866,7
1926-04-11,42,6,7,2.16024689946929,7
1926-04-18,39,5.57142857142857,5,2.14919697074224,7
1926-04-25,30,4.28571428571429,5,2.81154084173819,7
1926-05-02,28,4,3,2.94392028877595,7
1926-05-09,34,4.85714285714286,5,3.02371578407382,7
1926-05-16,31,4.42857142857143,5,2.99205296617238,7
1926-05-23,31,4.42857142857143,5,3.10145895008263,7
1926-05-30,29,4.14285714285714,3,2.34012616672488,7
1926-06-06,34,4.85714285714286,3,2.67261241912424,7
