"Weekly","ISN","Mean","Median","Sd","Count"
1857-04-19,0,0,0,0,7
1857-04-26,129,18.4285714285714,21,13.2521337006177,7
1857-05-03,288,41.1428571428571,42,6.81734482597077,7
1857-05-10,491,70.1428571428571,57,28.5039679777429,7
1857-05-17,616,88,93,35.2041664200892,7
1857-05-24,194,27.7142857142857,30,3.94606494769518,7
1857-05-31,376,53.7142857142857,53,14.4650646468689,7
1857-06-07,223,31.8571428571429,28,11.422617496712,7
1857-06-14,132,18.8571428571429,0,23.5473181164266,7
1857-06-21,107,15.2857142857143,21,10.4676372009842,7
1857-06-28,369,52.7142857142857,49,24.0604397695629,7
1857-07-05,354,50.5714285714286,51,17.0181975431903,7
1857-07-12,200,28.5714285714286,40,20.1234286579693,7
1857-07-19,400,57.1428571428571,57,10.415190371577,7
1857-07-26,90,12.8571428571429,0,21.9653406637864,7
1857-08-02,0,0,0,0,7
1857-08-09,210,30,42,16.5227116418583,7
1857-08-16,318,45.4285714285714,42,15.0427960926722,7
1857-08-23,364,52,51,18.806027402582,7
1857-08-30,475,67.8571428571429,70,14.5307555599445,7
1857-09-06,715,102.142857142857,106,24.4228620451451,7
1857-09-13,708,101.142857142857,103,18.9686458085316,7
1857-09-20,406,58,55,10.8320512061813,7
1857-09-27,341,48.7142857142857,40,19.1024805170627,7
1857-10-04,441,63,63,19.723082923316,7
1857-10-11,790,112.857142857143,112,38.3511345830801,7
1857-10-18,481,68.7142857142857,70,24.5812549565333,7
1857-10-25,549,78.4285714285714,85,30.1543647634254,7
1857-11-01,615,87.8571428571429,80,31.2912584780935,7
1857-11-08,309,44.1428571428571,46,7.35818300552909,7
1857-11-15,607,86.7142857142857,89,15.8610033910667,7
1857-11-22,214,30.5714285714286,21,25.3630777762817,7
1857-11-29,256,36.5714285714286,42,10.6748480528943,7
1857-12-06,306,43.7142857142857,42,20.7742973063213,7
1857-12-13,891,127.285714285714,129,14.4765820749039,7
1857-12-20,585,83.5714285714286,80,15.8519940160762,7
1857-12-27,309,44.1428571428571,48,14.3692794000322,7
1858-01-03,849,121.285714285714,125,39.5630900618,7
1858-01-10,703,100.428571428571,106,21.5859301618527,7
1858-01-17,210,30,27,16.8325082306035,7
1858-01-24,322,46,46,15.2970585407784,7
1858-01-31,508,72.5714285714286,66,23.6421737780683,7
1858-02-07,327,46.7142857142857,44,17.7455561170892,7
1858-02-14,424,60.5714285714286,49,39.9994047574758,7
1858-02-21,604,86.2857142857143,87,28.3590919325372,7
1858-02-28,1144,163.428571428571,192,59.1096640233421,7
1858-03-07,663,94.7142857142857,93,16.0801563602917,7
1858-03-14,925,132.142857142857,127,43.5829805139138,7
1858-03-21,653,93.2857142857143,84,38.3784413688826,7
1858-03-28,242,34.5714285714286,27,17.548572048813,7
1858-04-04,286,40.8571428571429,25,34.2706316031116,7
1858-04-11,594,84.8571428571429,87,11.0064915910047,7
1858-04-18,553,79,80,18.7705443004015,7
1858-04-25,725,103.571428571429,95,31.8321490679739,7
1858-05-02,530,75.7142857142857,84,25.9339821194399,7
1858-05-09,254,36.2857142857143,30,22.3510945721105,7
1858-05-16,477,68.1428571428571,68,27.4798627569873,7
1858-05-23,827,118.142857142857,124,40.5850077878871,7
1858-05-30,810,115.714285714286,110,22.573688856087,7
1858-06-06,364,52,61,25.4820198048219,7
1858-06-13,399,57,53,18.2208671582886,7
1858-06-20,654,93.4285714285714,87,31.3998786773513,7
1858-06-27,1004,143.428571428571,150,29.8767308723536,7
1858-07-04,1018,145.428571428571,148,20.4683262860543,7
1858-07-11,704,100.571428571429,97,24.5415100245628,7
1858-07-18,682,97.4285714285714,89,29.347669656818,7
1858-07-25,468,66.8571428571429,65,39.8264090415249,7
1858-08-01,385,55,61,24.9466096560902,7
1858-08-08,612,87.4285714285714,87,24.3163672098797,7
1858-08-15,974,139.142857142857,144,27.5706883690425,7
1858-08-22,756,108,87,49.4840041494892,7
1858-08-29,1244,177.714285714286,179,12.1616101690838,7
1858-09-05,1333,190.428571428571,190,40.0909679888839,7
1858-09-12,1178,168.285714285714,162,19.1373481767484,7
1858-09-19,821,117.285714285714,110,38.0601028449928,7
1858-09-26,855,122.142857142857,127,43.1564154034622,7
1858-10-03,1533,219,222,26.4575131106459,7
1858-10-10,985,140.714285714286,139,12.4058358003305,7
1858-10-17,1310,187.142857142857,196,34.9639269887722,7
1858-10-24,1072,153.142857142857,156,17.468338705866,7
1858-10-31,495,70.7142857142857,66,38.3436839028033,7
1858-11-07,779,111.285714285714,125,35.8083523111312,7
1858-11-14,809,115.571428571429,112,48.6170653949726,7
1858-11-21,605,86.4285714285714,85,25.9220443050385,7
1858-11-28,1135,162.142857142857,154,36.1221472757299,7
1858-12-05,725,103.571428571429,99,33.8371449881987,7
1858-12-12,971,138.714285714286,127,50.005713959221,7
1858-12-19,835,119.285714285714,118,23.6763896861711,7
1858-12-26,846,120.857142857143,152,60.2672619018224,7
1859-01-02,986,140.857142857143,137,32.4110504377163,7
1859-01-09,1175,167.857142857143,169,19.0650515466439,7
1859-01-16,1206,172.285714285714,146,39.6178170596441,7
1859-01-23,1093,156.142857142857,171,23.8357474634813,7
1859-01-30,830,118.571428571429,104,53.4816390388862,7
1859-02-06,1544,220.571428571429,218,35.3499511685525,7
1859-02-13,1323,189,199,58.7764125025224,7
1859-02-20,1037,148.142857142857,158,31.1096371532926,7
1859-02-27,990,141.428571428571,142,26.5760364668194,7
1859-03-06,832,118.857142857143,124,29.5433499083893,7
1859-03-13,1518,216.857142857143,218,38.1201109277355,7
1859-03-20,1403,200.428571428571,194,22.2924287809198,7
1859-03-27,1069,152.714285714286,152,27.9744781644167,7
1859-04-03,957,136.714285714286,144,42.8396789815014,7
1859-04-10,1539,219.857142857143,215,37.3382224689775,7
1859-04-17,895,127.857142857143,127,19.3341543339636,7
1859-04-24,1221,174.428571428571,165,22.2625031750486,7
1859-05-01,1385,197.857142857143,188,28.9737155103758,7
1859-05-08,1546,220.857142857143,226,31.7145002137748,7
1859-05-15,949,135.571428571429,116,48.6684605018388,7
1859-05-22,824,117.714285714286,108,58.9058975137869,7
1859-05-29,1506,215.142857142857,209,59.1732726023852,7
1859-06-05,1225,175,180,19.5789002074512,7
1859-06-12,1043,149,142,50.6162029393751,7
1859-06-19,1218,174,165,36.3868107973205,7
1859-06-26,837,119.571428571429,110,28.2303450377848,7
1859-07-03,986,140.857142857143,141,17.6581291140801,7
1859-07-10,1246,178,163,41.8847625435949,7
1859-07-17,1377,196.714285714286,175,88.5677034546911,7
1859-07-24,1588,226.857142857143,245,79.7902010930928,7
1859-07-31,1277,182.428571428571,184,38.9737396326344,7
1859-08-07,1165,166.428571428571,154,46.1911143794891,7
1859-08-14,1352,193.142857142857,192,55.300477910619,7
1859-08-21,1809,258.428571428571,262,43.1928124532201,7
1859-08-28,1632,233.142857142857,224,42.2903794080426,7
1859-09-04,1459,208.428571428571,194,48.8735004641477,7
1859-09-11,1337,191,203,50.2095608425328,7
1859-09-18,1276,182.285714285714,175,35.9662540247303,7
1859-09-25,1417,202.428571428571,199,40.8487337333613,7
1859-10-02,1695,242.142857142857,238,31.0774761492873,7
1859-10-09,1499,214.142857142857,190,61.7884254841433,7
1859-10-16,1456,208,207,20.6559111797729,7
1859-10-23,1418,202.571428571429,211,26.5006738458801,7
1859-10-30,1532,218.857142857143,232,22.3638739296853,7
1859-11-06,1469,209.857142857143,211,22.8723163921553,7
1859-11-13,1284,183.428571428571,175,53.6061474797345,7
