year,month,day,R,Vis
1928,11,4,0.239999994635582,0.7
1928,11,6,1.00799999758601,0.6
1928,11,18,0.504000004380941,0.6
1928,11,25,0,0.7
1928,11,26,1.00799999758601,0.6
1928,12,16,1.48799999803305,0.8
1928,12,25,10.0799999982119,1.2
1928,12,28,0.504000004380941,0.7
1928,12,28,20.4959999956191,0.7
1928,12,29,0,0.7
1928,12,29,22.007999997586,0.6
1928,1,10,23.4959999956191,0.8
1928,1,11,9.36000000312924,1.2
1928,1,11,22.992000002414,0.8
1928,1,13,20.8800000026822,0.8
1928,1,13,21.5999999977648,0.9
1928,1,15,0,0.8
1928,1,15,10.3200000040233,1.1
1928,1,19,22.992000002414,0.7
1928,1,20,12.2399999946356,1.1
1928,1,21,21.3600000031292,0.9
1928,1,22,11.7600000053644,1.1
1928,1,23,0,0.7
1928,1,24,18.2399999946356,0.9
1928,1,25,0.671999998390675,0.7
1928,1,25,10.3200000040233,0.9
1928,1,26,0.504000004380941,0.7
1928,1,27,0.743999999016523,0.7
1928,1,27,23.1599999964237,0.7
1928,1,30,12,1
1928,2,1,21.5999999977648,0.8
1928,2,7,9.36000000312924,0.9
1928,2,10,19.007999997586,0.8
1928,2,15,21.7439999990165,0.7
1928,2,16,16.8000000044703,0.8
1928,2,21,19.007999997586,0.8
1928,2,22,18.9600000008941,1
1928,2,24,19.1999999955297,1
1928,2,25,21.1199999973178,1.1
1928,2,26,20.4000000022352,1
1928,2,27,20.4000000022352,1.1
1928,2,27,23.1599999964237,0.7
1928,3,9,19.992000002414,0.7
1928,3,18,11.2800000049174,0.8
1928,3,20,20.4959999956191,0.7
1928,3,23,22.007999997586,0.7
1928,4,6,19.992000002414,0.5
1928,4,20,20.4959999956191,0.8
1928,9,14,1.24800000339746,0.8
1928,9,22,2.49599999561906,0.7
1928,9,26,2.63999999687076,0.9
1928,9,28,2.63999999687076,0.8
1928,9,30,3.11999999731779,0.8
1928,10,1,2.63999999687076,0.9
1928,10,2,3.11999999731779,0.9
1928,10,3,3.11999999731779,0.9
1928,10,7,1.48799999803305,0.5
1928,10,8,3.11999999731779,0.7
1928,10,10,3.11999999731779,0.8
1929,10,15,1.92000000178814,0.8
1929,10,19,3.50400000438094,0.6
1929,10,19,3.84000000357628,0.8
1929,10,20,3.59999999776483,0.7
1929,10,25,1.48799999803305,0.4
1929,10,26,3.36000000312924,0.7
1929,11,3,2.63999999687076,0.6
1929,11,5,2.63999999687076,0.6
1929,11,7,3.11999999731779,0.5
1929,11,8,22.992000002414,0.6
1929,11,9,1.34399999678135,0.4
1929,11,12,2.40000000223517,0.4
1929,11,15,3.84000000357628,0.6
1929,11,18,1.99200000241399,0.4
1929,11,18,3.59999999776483,0.4
1929,11,19,3.84000000357628,0.6
1929,11,22,2.40000000223517,0.4
1929,11,25,4.32000000402331,0.4
1929,12,5,3.36000000312924,0.4
1929,12,7,4.07999999821186,0.3
1929,12,14,3.11999999731779,0.2
1929,12,16,21.5999999977648,0.7
1929,12,21,0.504000004380941,0.5
1929,12,28,2.63999999687076,0.2
1929,12,30,20.1599999964237,0.5
1929,1,5,21.5999999977648,0.4
1929,1,15,19.1999999955297,0.7
1929,1,21,19.1999999955297,0.6
1929,2,1,18.9600000008941,0.6
1929,2,9,18.2399999946356,0.8
1929,2,20,20.6399999968708,0.8
1929,3,6,18.2399999946356,0.8
1929,3,8,20.4959999956191,0.6
1929,3,9,19.992000002414,0.6
1929,3,14,20.1599999964237,0.8
1929,3,27,19.1999999955297,0.8
1930,3,27,20.4959999956191,0.6
1930,3,28,20.2560000009835,0.6
1930,3,29,20.1599999964237,0.6
1930,4,1,19.7280000038445,0.7
1930,4,16,19.007999997586,0.6
1930,4,19,19.3920000046492,0.8
1930,4,24,18.7919999957085,0.5
1930,8,24,2.40000000223517,0.5
1930,9,8,2.40000000223517,0.5
1930,9,17,2.40000000223517,0.7
1930,9,29,4.80000000447035,0.7
1930,10,2,4.00799999758601,0.8
1930,10,10,3.48000000044703,0.8
1930,10,17,3.2880000025034,0.7
1930,10,27,0.504000004380941,0.6
1930,10,31,0,0.6
1930,10,31,2.42399999499321,0.8
1930,11,1,1.48799999803305,0.6
1930,11,13,4.80000000447035,0.6
1930,11,25,4.80000000447035,0.6
1930,12,3,1.00799999758601,0.8
1930,12,13,2.40000000223517,0.5
1930,12,25,0,0.4
1930,12,29,21.5999999977648,0.4
1930,12,31,22.007999997586,0.6
1930,1,6,0,0.5
1930,1,20,23.8319999948144,0.5
1930,1,21,19.1999999955297,0.3
1930,2,7,19.1999999955297,0.2
1930,2,15,19.992000002414,0.4
1930,2,16,22.487999998033,0.5
1930,2,17,22.8239999972284,0.5
1930,2,19,19.487999998033,0.7
1930,3,3,19.1999999955297,0.3
1930,3,17,19.1999999955297,0.3
1930,3,27,19.1999999955297,0.3
1930,3,31,19.1999999955297,0.2
1930,4,26,19.1999999955297,0.2
1930,8,22,19.1999999955297,0.3
1930,9,9,2.40000000223517,0.5
1930,9,15,19.1999999955297,0.3
1930,9,19,0.504000004380941,0.6
1930,9,20,2.40000000223517,0.5
1930,9,20,2.40000000223517,0.8
1930,9,29,19.1999999955297,0.1
1930,10,7,0,0.5
1930,10,9,0.216000001877546,0.4
1930,10,11,0.840000003576279,0.4
1930,10,15,0.912000004202127,0.4
1930,10,16,23.8319999948144,0.6
1930,10,17,4.80000000447035,0.3
1930,10,18,0.743999999016523,0.6
1930,10,19,1.24800000339746,0.6
1930,10,21,1.48799999803305,0.6
1931,10,21,3,0.3
1931,10,22,2.40000000223517,0.4
1931,10,24,1.75199999660254,0.6
1931,10,25,19.1999999955297,0.2
1931,10,26,0,0.5
1931,10,27,4.80000000447035,0.2
1931,11,11,0.168000005185604,0.5
1931,11,12,4.80000000447035,0.4
1931,11,14,0.216000001877546,0.5
1931,11,18,2.40000000223517,0.4
1931,11,19,12,0.1
1931,11,23,0.407999999821186,0.4
1931,11,26,0.239999994635582,0.2
1931,12,9,14.4000000022352,0.2
1931,12,15,0.840000003576279,0.4
1931,12,15,14.4000000022352,0.3
1931,12,17,2.40000000223517,0.4
1931,12,18,21.5999999977648,0.3
1931,12,19,2.40000000223517,0.5
1931,12,20,1.99200000241399,0.6
1931,12,22,0.335999999195337,0.5
1931,12,22,14.4000000022352,0.2
1931,12,27,0.335999999195337,0.6
1931,12,30,0.239999994635582,0.5
1931,12,31,23.9759999960661,0.6
1931,1,6,21.5999999977648,0.3
1931,1,7,0.168000005185604,0.3
1931,1,8,2.40000000223517,0.4
1931,1,8,19.1999999955297,0.6
1931,1,10,2.40000000223517,0.4
1931,1,10,12,0.2
1931,1,13,22.992000002414,0.5
1931,1,16,12,0.2
1931,1,16,22.992000002414,0.5
1931,1,17,2.40000000223517,0.4
1931,1,18,21.5999999977648,0.6
1931,1,26,12,0
1931,1,27,0.239999994635582,0.6
1931,2,6,2.40000000223517,0.4
1931,2,10,12,0.1
1931,2,15,2.40000000223517,0.4
1931,2,17,12,0.1
1931,2,21,19.487999998033,0.5
1931,2,22,12,0.1
1931,2,24,0,0.5
1931,3,7,2.40000000223517,0.5
1931,3,9,12,0.2
1931,3,16,2.40000000223517,0.4
1931,3,18,12,0.1
1931,4,2,2.40000000223517,0.6
1931,4,5,2.40000000223517,0.5
1931,4,8,2.40000000223517,0.6
1931,4,11,12,0.3
1931,4,14,2.40000000223517,0.6
1931,4,16,9.59999999776483,0.3
1931,4,18,2.40000000223517,0.9
1931,4,18,12,0.2
1931,4,19,2.40000000223517,0.6
1931,4,21,9.59999999776483,0.1
1931,4,23,2.40000000223517,0.7
1931,4,25,21.1680000051856,0.7
1931,5,7,4.80000000447035,0.7
1931,5,11,9.59999999776483,0.1
1931,5,12,4.80000000447035,0.6
1931,5,16,9.59999999776483,0.1
1931,6,2,9.59999999776483,0.1
1931,8,25,21.5999999977648,0.9
1931,9,9,7.19999999552965,0.9
1931,9,14,0,0.9
1931,9,14,21.5999999977648,0.9
1931,9,17,7.19999999552965,0.9
1931,9,20,1.34399999678135,0.6
1931,10,2,21.5999999977648,0.9
1931,10,3,21.5999999977648,0.9
1931,10,5,12,0.3
1931,10,5,21.5999999977648,1
1931,10,7,21.5999999977648,0.9
1931,10,8,0,0.5
1931,10,9,19.1999999955297,0.1
1931,10,9,21.5999999977648,1.1
1931,10,10,4.80000000447035,1
1931,10,11,1.48799999803305,0.5
1931,10,12,9.59999999776483,0.4
1931,10,16,0.239999994635582,0.5
1931,10,17,0.239999994635582,0.5
1931,10,19,2.40000000223517,0.8
1931,10,20,7.19999999552965,0.8
1931,10,21,3.23999999463558,0.5
1931,10,21,7.19999999552965,0.8
1931,10,22,0.504000004380941,0.6
1931,10,22,1.48799999803305,0.6
1931,10,25,1.39200000464916,0.5
1931,10,25,7.19999999552965,0.4
1931,11,1,4.80000000447035,0.5
1931,11,1,4.80000000447035,0.9
1931,11,3,4.80000000447035,0.4
1931,11,4,2.40000000223517,0.9
1931,11,5,4.80000000447035,0.4
1931,11,7,4.80000000447035,0.3
1932,11,7,4.80000000447035,0.9
1932,11,8,4.80000000447035,1
